ID_PEDIDO,CLIMA,TIEMPO_ENTREGA_MIN,DISTANCIA_KM,FECHA_PEDIDO
1001,Soleado,24,3.97,2025-01-01 00:00:00
1002,Lluvioso,58,8.41,2025-01-01 12:00:00
1003,Nublado,52,6.15,2025-01-02 00:00:00
1004,Soleado,41,7.58,2025-01-02 12:00:00
1005,Lluvioso,41,4.55,2025-01-03 00:00:00
1006,Nublado,62,2.82,2025-01-03 12:00:00
1007,Soleado,24,5.44,2025-01-04 00:00:00
1008,Lluvioso,54,1.51,2025-01-04 12:00:00
1009,Nublado,30,7.62,2025-01-05 00:00:00
1010,Soleado,24,6.05,2025-01-05 12:00:00
1011,Lluvioso,46,7.06,2025-01-06 00:00:00
1012,Nublado,68,3.84,2025-01-06 12:00:00
1013,Soleado,56,8.77,2025-01-07 00:00:00
1014,Lluvioso,58,8.14,2025-01-07 12:00:00
1015,Nublado,55,7.23,2025-01-08 00:00:00
1016,Soleado,59,2.56,2025-01-08 12:00:00
1017,Lluvioso,45,4.73,2025-01-09 00:00:00
1018,Nublado,26,1.35,2025-01-09 12:00:00
1019,Soleado,61,2.23,2025-01-10 00:00:00
1020,Lluvioso,42,6.46,2025-01-10 12:00:00
